uid,body,title,url,newspaper_uid,host,n_tokens_title,n_tokens_body
561a52c4a59cb85d5701923a6988d918,"Those attending  included Shirley Dunn and Christine Fay President and Vice President  respectively of Rotary International Estoi, Paul Streeter President AFPOP, and  his wife Andrea and Sue and John Bannister Royal British Legion. David  Thomas started the event by thanking, SCP management team member Mike Evans for  organising the event, and in particular Clive Jewell for being the speaker. It  was through Clive’s invitation some eleven years ago that Safe Communities  attended a British consulate outreach program in Albufeira officiated by the  then British Ambassador Jill Gallard, where David announced the forming of Safe  Communities Algarve as it was then known, in response to the serious crime that  affected the Algarve at that time. Clive had continued to give great support to  SCP since then.  David then  spoke about how it was not until a year later that Safe Communities was  officially registered being the first crime prevention organisation registered  in Portugal. As interest and demand in its services grew it changed its name to  Safe Communities Portugal in 2014, taking on new challenges in the area of  civil protection including, in particular rural fire preparedness. The  association had held around 35 seminars at that time bringing the GNR, PSP,  SEF, Civil protection, Regional Tourism Algarve together before a foreign  community audience. The aim was develop public awareness of safety and security  risks and foster closer engagement between the community and the authorities.  He  explained how the association had been recognized by the government Council of  Ministers and had become a qualified Civil Protection Volunteer organisation  under Portuguese law. David added that these steps were essential in building a  close relationship with government and resulted in SCP being involved in parts  of the review process following the 2017 major fires. David gave an overview of  the considerable challenges the association face in dealing with Covid-19, its  current work in disaster risk reduction and covering major incidents as well as  plans for the future.  He concluded by thanking the management team,  members and followers. Clive  Jewell then gave a very interesting talk on what the day-to-day life of a Vice  Consul entails. He spoke about the core work of the consular team in supporting  the British community and the various services that they offered, as well as  his own role. There followed a number of questions.  David  Thomas said that this was the first of what they hope is a series of lunches  around the country. The event raised €465 in donations to SCP thank you. The  next lunch will be in the New Year and plans are currently being finalised and  will be promoted to their followers in the New Year.",Safe Communities Portugal holds its first community lunch since the pandemic,https://www.theportugalnews.com/news/2022-12-29/safe-communities-portugal-holds-its-first-community-lunch-since-the-pandemic/73149,portugalnews,www.theportugalnews.com,11,419
d63afd23af73d93aec0123ae6e7583a4,"The Federation of Portuguese Agro-Food Industries (FIPA) has warned of the “serious situation” that the strike by workers in port administrations is causing to agri-food companies and calls for the parties to quickly reach a solution. At the same time, the Associação Empresarial de Portugal (AEP) sent a letter to the Government, warning of the consequences that the strike by port administration officials is already having on companies.“If it continues, the strike by port administration workers jeopardises the normal functioning of the agri-food industry, a sector for which the ports of the [Portuguese] Continent, Madeira and Azores are the gateway for raw materials into the country” , says FIPA in a statement.In addition, the stoppage ""compromises the export of goods"" and the ""meeting of delivery deadlines"" for orders, a situation that jeopardizes ""future relations with the outside world"".FIPA, however, recognizes that the “strike is a fundamental right of workers”, but warns of the fact that it is already “affecting the supply and consumption of essential goods”, as well as bringing “incalculable and lasting damage” to companies and their workers. And he continues: “The risk of disruption in the supply of some raw materials for food is already a reality”.Thus, and in view of the situation, and in case an immediate solution is not found for this labour dispute, FIPA understands that ""the minimum services must be reviewed and ensured immediately"", since they currently ""do not include the unloading of raw materials of essential food items”.The AEP is also concerned about the consequences of this  national strike. The association joined the Port Community of Leixões,  Commercial Association of Porto, Association of Shipping Agents of Portugal,  National Association of Port Terminal Concessionaires, Association of  Forwarders of Portugal, and Association of Port Operators of Leixões to alert  the Government to the damage being done to businesses and the economy.In a letter sent to the Government, the seven entities,  which manifest themselves as workers, operators, and customers of the Port of  Leixões, show great concern for the blockade that the import and export of  goods are causing.Users of national ports with greater capacity are already  diverting cargo to Spain and other international ports, but most economic operators  do not have that possibility and are currently paralysed. The situation is  particularly serious in the Port of Leixões, since its physical characteristics  dictate its total closure, without it being possible for ships to enter or  leave.“Port Administrations are profitable public companies. Every  year they distribute dividends to the State. However, port dues are not  ordinary income. The sector law says, very specifically, that they serve to  improve the port service, even though no relevant investments have been made in  the sector”, reads a statement.“It is the duty, obligation, and responsibility of the  Government to correct the application of these fees and the proper functioning  of the ports”, adds the AED. The National Union of Port Administration Workers (SNTAP)  called a multi-day strike, which began on December 22 and runs until January  30, covering ports on the mainland, Madeira, and the Azores. According to the  document sent to the Government, regional secretariats, and port  administrations, workers will be on strike ""from 00:00 on December 22nd  until 24:00 on December 23rd"", ""from 00:00 on December 27th until  24:00 of the 29th"" and ""of the 00:00 to 24:00 on the 2nd, 6th, 9th,  13th, 16th, 20th, 23rd, 27th and 30th of January”.Related article -  Port workers on strike",Port strike “affecting supply of essential goods”,https://www.theportugalnews.com/news/2022-12-30/port-strike-affecting-supply-of-essential-goods/73425,portugalnews,www.theportugalnews.com,7,514
5123a05fcc32277f43935cf155ccd37f,"A total of 75 hotels are to open representing 5,964 new rooms in Portugal according to data compiled by consultancy Cushman & Wakefield for CNN Portugal/TVI.“It will certainly be one of the years when we will see more hotels opening in Portugal, from the north to the south of the country. It's not normal to grow by 75 hotels every year. In fact, it is an extraordinary number”, outlines Gonçalo Garcia, director of the hospitality area at Cushman & Wakefield in Portugal.Over the past five years, from 2019 to 2023, the country has seen almost 300 new hotels open with 20,000 rooms.According to data from the Associação da Hotelaria de Portugal (AHP), provided to CNN Portugal/TVI, there are today almost 1,800 hotels in Portugal: 1572 units from one to five stars, 43 pousadas, and 153 apartment hotels.Despite being the main gateway to Portugal, Lisbon is no longer the region where most hotels open. According to data from Cushman & Wakefield, in recent years it has been successively surpassed by the North.Serão 75 as inaugurações de hotéis em 2023. A inflação até pode colocar maiores cautelas, mas o interesse dos investidores não abranda. Em cinco anos, são quase 300 novas unidades.E o preço? “Já não somos o país das pechinchas“.Descubra mais em https://t.co/bWUKLFgaSX pic.twitter.com/4ibX1VZ6Hr— CNN Portugal (@cnnportugal) December 27, 2022According to Gonçalo Garcia: “With the north region growing  by double digits, and having a smaller supply base, it is normal that interest  in new projects is more focused there”.Since 2019, there has also been an upward trend in the  Alentejo region, which is expected to have 11 new units next year, with 650  rooms. The same happens in the Azores, with six openings, which represent  practically twice as many as in previous years.The Algarve (five openings), Center (nine openings), and  Lisbon have maintained a stable level of openings in these five years under  review. Madeira has already confirmed itself as the region with the lowest  number of openings: in 2023, there will be only two.Related article:New Algarve Tivoli all-inclusive hotelIcelandic hotel group focusing on Serra da EstrelaTwo new Hilton hotels for Algarve  ",New hotel opening every 5 days in Portugal,https://www.theportugalnews.com/news/2022-12-27/new-hotel-opening-every-5-days-in-portugal/73313,portugalnews,www.theportugalnews.com,7,292
7e5a3bac2860e602345ea676e4e21a0c,"The updated FIFA rankings show Spain in 10th place, falling from 7th, and Croatia climbing from 12th to 7th place.The ranking continues to be led by Brazil, with Argentina in second followed by France, then Belgium and England.On top of the world and up to second in the #FIFARanking ????????????Here's how the top 10 nations look after #Qatar2022— FIFA World Cup (@FIFAWorldCup) December 22, 2022",Portugal overtakes Spain,https://www.theportugalnews.com/news/2022-12-22/portugal-overtakes-spain/73207,portugalnews,www.theportugalnews.com,3,55
f2fe40ead1e2ce7682a373079f421b0d,"According to a study by Holidu, based on phrases typically  used in the search for new experiences of life abroad, the results found that  Lisbon was considered the tenth most attractive city in Europe for foreigners  to live in, accounting for 2,500 average monthly searches across the globe.The mild climate, gastronomy, safety, beaches, green  landscapes and Lisbon monuments help explain these results. And a recent study  by idealista corroborates them: the municipality of Lisbon was the most sought after by foreigners to buy a house in Portugal in the second quarter of 2022.  The demand for houses to buy in the capital is particularly expressive by  families from the United States, Brazil, United Kingdom, Germany and France,  points out the same study published in July this year.In addition to Lisbon, there are other urban centres that  make up the top 10 cities in Europe that have most attracted foreigners to  live, according to Holidu:Edinburgh, UK (20,600 average global monthly searches)Dublin, Ireland (17,570)Barcelona, ​​Spain (12,000)London, United Kingdom (10,650)Berlin, Germany (5,150)Paris, France (4,700)Madrid, Spain (4,520)Amsterdam, Netherlands (4,450)Manchester, UK (3,200) Lisbon, Portugal (2,500)",Lisbon one of the most attractive European cities to live ,https://www.theportugalnews.com/news/2022-10-16/lisbon-one-of-the-most-attractive-european-cities-to-live/71195,portugalnews,www.theportugalnews.com,10,166
e993ca0301367157d1d190d040fbdd3a,"I’ve recently read an article in the Guardian in which the  author debunked some assumptions  about the Real Estate broker profession in New York’s rental market. One  of the main assumptions mentioned was that the profession is very glamorous and is an easy way to make big financial gains without much  effort, especially in the luxury  market. The truth is, if we happen  to be in a sellers' market, as is  the case today, the situation appears  substantially different from what is expected by  the general public.  When  reading this article, I couldn't help but notice the similarities with what is  happening in the post-covid Portuguese market. With  the start of the pandemic in 2020, which lead to quarantine and the closing of  borders internationally, the Portuguese residential market shifted drastically.  In fact, countless numbers of properties, once dedicated to short-term rental,  were now listed as long-term properties – increasing the supply of the latter  on the market. This pushed housing prices down, benefiting buyers/tenants but only  momentarily. Then, at  the end of 2021 and  start of 2022, these  dynamics shifted again with demand exceeding supply significantly and housing  prices reaching all-time highs.   Anyone  who has tried recently to look for a property to rent in Lisbon’s  city center, certainly knows what I'm  talking about. By this I am not referring to a ground floor with an interior  bedroom in the Anjos neighborhood or a fourth-floor studio without an elevator  in Penha de França. If the reader wants to rent a prime apartment for his  family in the center of Lisbon today, he will be faced with a  true Odyssey that will be everything but Epic. The  market is once again on the side of the owners and it is  expected to remain as  such for a while, at least in the prime residential segment. According  to a study carried out by the Francisco Manuel dos Santos Foundation on the Portuguese real estate  market, the majority of the Portuguese population  favor purchasing a house over renting  one. The figures for private property sales have in fact grown significantly since 2011 while rental figures have been decreasing for the same period –  rental corresponding to only 19.9% of  the market ​​in Portuguese national territory. However, the main metropolitan areas – Lisbon and Porto – are  telling a different story, with the number of leases accounting  for 42.3% and 43.9% of  the market, respectively.  These figures are furthermore inflated  in the historic centers of  those respective cities, with 64.1% and 54.1% of  the market representing rental properties. Taking into consideration that Lisbon and Porto are the  cities with the highest demand for real estate, together with the fact that  they are the oldest cities in Portugal with dense historic centers and little to no space for new construction, it is only natural that the supply cannot keep up with the demand.  I  remember that on  multiple occasions during my realtor career in Lisbon, I  would meet with a potential landlord and after returning to the office to  prepare the new listing in the system, I would get a call from the same client  saying “the apartment had already been leased, we had an offer for the asking  price!” In a seller's market, there  are many daily challenges not only for those looking for a home but also for  those looking to work within the real estate industry. What consists of a seller’s market and what are the  challenges realtors face in such a market? In a seller’s market there is a decrease in inventory,  there are less houses in the market than buyers/tenants interested to buy. As  an increasing number of buyers are competing for the same pool of available  properties, their negotiation power decreases whereas the seller’s negotiation  power increases. Houses that have the characteristics most buyers are looking  for will spend less time in the market, which allows the seller to have more  leverage. As such, it becomes increasingly important for realtors in such a  competitive market to manage the seller/buyer relationship to a T.  With the decrease in the number of listings,  competitiveness amongst realtors for such listings will increase, as it is well  known in the real estate industry that the secret to any realtor’s success is  in the quality of their listings. Managing the relationship with the seller and  convincing them to sign a contract with you and not another realtor is of the  utmost importance. Buyer’s Market Vs. Seller’s Market: Expectations Vs.  Relationships management To be able to stand out and deliver in a seller’s  market, the realtor must understand the main drivers and differences within  these markets.  In my years of experience in real estate and business  development I have come to realize that there are two crucial elements for  succeeding in this profession: the way you manage expectations versus the way  you manage relations. In a buyer’s market the leverage of the seller is  decreased, thus it becomes increasingly important for the broker to manage the  “expectations” of  the seller. There are fewer buyers on the market than the houses available for  sale, hence the whole selling process becomes less emotional and much more  reasonable. Managing the sellers price expectations is a greater challenge in  such a market. Due to the competitiveness of properties for sale, buyers are  much more sensitive to price increases or drops of properties with very similar  characteristics as theirs.  On the other hand, on a seller’s market the sale  process is more emotional. With the scarcity of properties available for sale,  buyers are more prone to jump at the opportunity when they see one with the  characteristics they are looking for. In this type of market, the realtors need  to be acing up the buyer/seller relationships. They need enough perseverance to  look for off-market properties and be persuasive enough to get those niche  listings. In this type of market, the relationship with the sellers must be  managed carefully because sellers tend to be extremely demanding. In an  unregulated market, such as the Portuguese real estate market, it is not  unusual for the seller to back away from a settled agreement and sell to a  higher bidder. Hence, it’s also important for the realtor to communicate with  the buyer and prepare them to make an acceptable offer as fast as possible to  avoid losing opportunities to a quicker buyer.   by Sara Outeiro, ex Realtor and Business Development  Manager at EQTY Capital",Lisbon’s Prime housing market in 2022: Highs and lows of a Real Estate Agent in an owners’ market,https://www.theportugalnews.com/news/2022-12-02/lisbons-prime-housing-market-in-2022-highs-and-lows-of-a-real-estate-agent-in-an-owners-market/72615,portugalnews,www.theportugalnews.com,17,994
accd8234eb67a2cb8c31653e0f44fe3d,"The report, referring to the first half of this year,  indicates that the Health Regulatory Entity (ERS) received 50,694 complaints  (37,872 in the same period last year), 9,133 cases referring to compliments, and  321 suggestions. More than 243 processes have a mixed classification.In total, 60,391 processes were submitted to the ERS for  consideration in the first half of the year (complaints, compliments, and  suggestions) referring to public, private, and social health units, which  represents an increase of 32.6% in relation to the same period of the year. As for the legal nature, 68% of the cases submitted to the  ERS concern establishments providing healthcare in the public sector, including  in this sector establishments managed under a Public-Private Partnership (PPP).The Regional Health Administration (ARS) of the North is the  one with the highest number of establishments subject to complaints (475),  followed by the ARS of Lisbon and Vale do Tejo (388) and the ARS of the Center  (259).Among the complaints related to the topic “Access to health  care”, in a total of 14,091 mentions of the topic, the document highlights the  subject “Response in good time/reasonable time”, which appears in more than one  in three cases (38%).In the private sector, in inpatient units, the most  mentioned topics were ""Financial issues"" and ""Health care and  patient safety"".According to the report, public sector providers received  the highest number of compliments (7,141) and suggestions (232). The private  sector received 1,982 compliments and 107 suggestions and the social sector 29  compliments and one suggestion.Compliments submitted to the ERS were most often directed at  clinical staff (30%) but were also related to the functioning of the services  (support services with 22%, clinical services with 12%, and administrative  services with 11% of the commendations).Related articles:Ministry of health questioned over access to health from foreignersHealth insurance doublesNew free senior health plan launched  ",Health complaints up 30%,https://www.theportugalnews.com/news/2022-12-27/health-complaints-up-30/73331,portugalnews,www.theportugalnews.com,3,273
a57b3488c87ca84a52da5b345f6cb52a,"Inflation is the biggest concern of the Portuguese for 2023,  according to a joint study by multidados.com – the research agency, and Guess What. Almost half of the Portuguese (48.6%) believe that their  standard of living will be worse or much worse in 2023, with the main fear  being the impact of inflation.""War, inflation, and the impact of the pandemic are  among the concerns of the Portuguese for next year, with emphasis on inflation  (66.8%) and the escalation of the war (24.0%). Covid-19 and other pandemics  were mentioned by only 2.4% of respondents"".More than half of respondents (52.6%) estimate a drop in  income in the next year, with 33.7% considering that the drop will be in the  order of 5 to 9%.Faced with this scenario, 84% plan to make cuts in expenses.""The respondents show some disinterest in investing in  financial products, with 54.0% indicating that they do not intend to do so. 84%  say that they do not intend to invest in cryptocurrencies"", it can also be  read. Still, for 2023, 18.8% intend to start reading habits, while  70.6% intend to continue this habit. As for physical exercise, 49.1% of  respondents intend to start this practice and 47.1% indicate that they will try  to keep it up. 40.9% of respondents said they intended to take care of their  minds, through, for example, meditation.",What are Portuguese most concerned about for 2023?,https://www.theportugalnews.com/news/2022-12-27/what-are-portuguese-most-concerned-about-for-2023/73322,portugalnews,www.theportugalnews.com,6,193
3ab7cbf386724eae531aad46965351e5,"According  to France 24, the National Commission for Technology and Freedoms (CNIL) found  that the Microsoft browser Bing had not set up a system for users to refuse  cookies – leading to cookies being placed without consent.",Bad cookies,https://www.theportugalnews.com/news/2022-12-28/bad-cookies/73342,portugalnews,www.theportugalnews.com,2,32
75725d89e8804c716602bcf7395bce4b,"“My deepest condolences to all of Brazil, and in particular to the family of Mr. Edson Arantes do Nascimento. A mere 'goodbye' to the eternal King Pelé will never be enough to express the pain that currently embraces the entire world of football"", said the Portuguese international in a message posted on social networks.Cristiano Ronaldo recalled the mutual affection between the two and stated that Edson Arantes do Nascimento, known as Pelé, will never be forgotten.“An inspiration for so many millions, a reference from yesterday, today, forever. The affection he always showed for me was reciprocal in every moment we shared, even from a distance. He will never be forgotten and his memory will last forever in each of us football lovers”, he stressed, ending the message with “Rest in peace, King Pelé”.The legend of Brazilian and world football, the only player to have won the World Cup three times, was admitted to the Albert Einstein hospital, in São Paulo, on November 29, when he underwent a reassessment of treatment for cancer detected in September 2021, and the treatment of a respiratory infection, aggravated by covid-19, with antibiotics.Pelé's health has deteriorated in recent years due to other  causes as well, such as problems with his spine, hips, and knees, which have  reduced his mobility and forced him to undergo surgery, in addition to having  suffered a kidney crisis, which drastically reduced his public appearances,  although he remained active on social media.Pelé, the only footballer three times world champion, in  1958, 1962, and 1970, scored 77 goals in 92 games for the Brazilian national  team. He was also Minister of Sport in the government of Fernando  Henrique Cardoso, between 1995 and 1998.",Ronaldo bids farewell to the “King” ,https://www.theportugalnews.com/news/2022-12-30/ronaldo-bids-farewell-to-the-king/73437,portugalnews,www.theportugalnews.com,6,250
